title,venue,artist,genre,memo,year,month,url
リサーチ！ プロセスを魅せるデザイン展,ATELIRE MUJI,Various,Various,Monochromeと一緒に行った。,2022,7,https://atelier.muji.com/jp/exhibition/4604/
人工知能がトレンドワードから生成する詩を眺める,PARA 神保町,石橋友也+新倉健人,メディアアート,None,2022,9, None
大ベルセルク展,松屋銀座8階イベントスクエア,Various,企画展,事後通販が結構最近までやってたっぽい,2022,10,https://www.dai-berserk-ten.com/
à mains levées シャネルを紡ぐ手 アンヌ ドゥ ヴァンディエール展,CHANEL NEXUS HALL,アンヌ ドゥ ヴァンディエール,写真,CHANEL NEXUS HALLでは面白い展示が見れるので銀座に行った時はちょくちょくいってます。,2022,10,https://nexushall.chanel.com/program/2022/mains/
見るは触れる 日本の新進作家 vol.19,東京都写真美術館,Various,Various,澤田 華の《漂うビデオ（水槽、リュミエール兄弟、映像の角）》と永田康祐〈Function Composition〉が面白かったです。,2022,10,https://topmuseum.jp/upload/4/4283/shinshin19_workslist_pages.pdf
マン・レイのオブジェ 日々是好物｜いとしきものたち,DIC川村記念美術館,マン・レイ,Various,私の好きなマン・レイが詰まった最高の展示でした。,2022,10,https://kawamura-museum.dic.co.jp/art/exhibition-past/2022/manray/
ロスコ・ルーム,DIC川村記念美術館,マーク・ロスコ,絵画,でかいは正義、最高の鑑賞体験でした。マン・レイの展示を見に行った時に見た常設展です。,2022,10,https://kawamura-museum.dic.co.jp/architecture/rothko-room
パリ・オペラ座 響き合う芸術の殿堂,アーティゾン美術館,Various,Various,None,2023,1,https://www.artagenda.jp/exhibition/detail/6570
石橋財団コレクション選　特集コーナー展示　Art in Box ーマルセル・デュシャンの《トランクの箱》とその後,アーティゾン美術館,Various,Various,パリ・オペラ座 響き合う芸術の殿堂を見に行った時に見た。まさかデュシャンが観れるとは思わなかった。,2023,1,https://tokinowasuremono.blog.jp/archives/53500961.html
常設展,故宮博物院,Various,Various,人生初の海外での展示。例の角煮とユークリッド原論が見れて面白かった,2023,6,https://www.npm.gov.tw/?l=3
ガウディとサグラダ・ファミリア展,東京国立近代美術館,Various,Various,幾何学的な観点からみる話とか印象深かった覚えがあります。公式サイトを観に行ったら面白かった。,2023,9,https://www.momat.go.jp/wp-content/uploads/2023/08/552-list_0810.pdf
「MOMATコレクション」,東京国立近代美術館,Various,Various,常設展、だいぶよかった印象がある,2023,9,https://www.momat.go.jp/about-collection
アートフェアTokyo Gendai,横浜国際平和会議場（パシフィコ横浜）,Various,Various,アートフェアの楽しさを知れて楽しかった。,2024,7,https://prtimes.jp/main/html/rd/p/000000006.000103225.html
Rhizomatiks Beyond Perception,KOTARO NUKAGA（天王洲）,Rhizomatiks,メディアアート,AIと生成芸術というテーマが存分に伝わった最高の個展だった。,2024,7,http://rhizomatiks.com/work/rhizomatiks-beyond-perception/
metaPhorest Biome 生物学実験室におけるアートの生態系,WHITE HOUSE（東京都渋谷区代田）,Various,バイオアート,広義バイオアート。蚕に服を作らせる作品、最高だった。,2024,7,https://www.tokyoartbeat.com/events/-/Meta-Phorest-Biome/whitehouse/2024-07-06
藝祭 2024 えん,東京藝術大学,Various,Various,たまたま聞いたライブが最高だった。,2024,9,https://geisai.geidai.ac.jp/2024/
香りの装い ～香水瓶をめぐる軌跡～,箱根ガラスの森美術館,Various,Various,私の推しの儒烏風亭らでんがボイスガイドを務めていた展示。面白かった,2025,1,https://www.hakone-garasunomori.jp/event/exhibition_2024
ラ・フォル・ジュルネ TOKYO 2025,東京国際フォーラム,Various,音楽,パリを愛し、パリに愛されたスペインのエキゾティック という公演を聴きに行った。ギターを含む交響曲は印象深かった。,2025,5,https://www.lfj.jp/lfj_2025/
マシン・ラブ展,森美術館,Various,メディアアート,シリコン・セレナーデという作品が最高だった。3D酔いした。,2025,6,https://www.mori.art.museum/jp/exhibitions/machine_love/02/index.html
